City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,mo i rana,66.3128,14.1428,4.62,93,100,2.68,NO,1682118386
329,aksuat,48.7167,83.7,1.67,54,43,1.38,KZ,1682118386
330,yigo village,13.5361,144.8886,28.19,81,75,6.17,GU,1682118386
331,granada,37.25,-3.25,13.59,70,78,1.78,ES,1682118207
332,sihanoukville,10.6093,103.5296,25.97,94,20,2.06,KH,1682118387
333,reggane,26.7158,0.1714,28.07,15,15,4.56,DZ,1682118387
334,robbah,33.2797,6.9098,19.72,54,1,8.36,DZ,1682118388
335,brookings,44.3114,-96.7984,1.19,83,100,8.75,US,1682118207
336,smithers,54.7804,-127.1743,9.18,43,75,1.54,CA,1682118184
337,berezniki,59.4152,56.8124,3.37,87,100,1.1,RU,1682118389
338,susuman,62.7833,148.1667,-5.97,88,90,1.92,RU,1682118389
339,newman,37.3138,-121.0208,26.99,42,39,4.47,US,1682118389
340,natal,-5.795,-35.2094,27.12,69,20,4.63,BR,1682118272
341,turkmenbasy,40.0222,52.9552,14.43,72,100,2.06,TM,1682118390
342,lasem,-6.6922,111.4527,24.96,92,66,2.63,ID,1682118390
343,port-vila,-17.7338,168.3219,29.78,70,40,4.12,VU,1682118391
344,dapa,9.7594,126.0531,27.6,78,95,1.63,PH,1682118391
345,macapa,0.0389,-51.0664,27.99,89,20,2.06,BR,1682118311
346,gemena,3.25,19.7667,21.44,98,98,1.61,CD,1682118393
347,holualoa,19.6228,-155.9522,26.91,83,40,4.63,US,1682118390
348,nagqu,31.5,92.0,-3.55,83,100,1.22,CN,1682118393
349,sakhipur,24.3,90.1833,23.48,79,97,2.86,BD,1682118394
350,tabas,33.5959,56.9244,23.12,17,18,1.03,IR,1682118142
351,shulan,44.4167,126.95,4.16,24,10,1.97,CN,1682118394
352,novovarshavka,54.1721,74.6946,0.08,70,15,4.17,RU,1682118395
353,sotik post,-0.7813,35.3416,13.96,96,100,1.21,KE,1682118395
354,radomsko,51.0671,19.4448,8.9,66,44,2.18,PL,1682118395
355,chonchi,-42.6128,-73.8092,11.73,94,77,0.87,CL,1682118395
356,llanes,43.4198,-4.7549,12.85,94,100,2.08,ES,1682118396
357,castillos,-34.1667,-53.8333,16.34,82,78,4.55,UY,1682118396
358,sao jose dos pinhais,-25.5347,-49.2064,15.19,67,40,3.09,BR,1682118396
359,mariehamn,60.0973,19.9348,7.12,93,0,0.51,AX,1682118396
360,tapes,-30.6733,-51.3958,19.08,78,56,5.57,BR,1682118397
